distance_km,nb_arrets,volume_total_m3,part_caisson_special,duree_min
1096.7,17,3.37,0.548,1655.6
860.67,11,12.08,0.084,1310.6
370.43,16,4.84,0.407,724.0
1165.17,19,5.35,0.489,1728.6
949.99,14,15.91,0.141,1482.9
880.09,15,10.64,0.166,1320.6
577.78,9,22.28,0.579,936.8
377.63,8,9.02,0.159,586.2
178.92,11,17.98,0.258,519.1
1089.94,18,12.14,0.26,1700.8
585.03,13,16.52,0.152,1004.5
298.67,10,15.19,0.465,648.4
415.73,17,12.4,0.463,936.2
724.52,18,22.9,0.227,1165.4
269.75,19,9.54,0.501,610.3
1037.97,9,5.9,0.128,1438.4
927.13,16,16.92,0.003,1407.0
882.99,14,20.61,0.343,1344.2
558.27,12,2.89,0.596,881.4
778.86,11,11.89,0.023,1120.7
730.03,6,21.63,0.125,1111.3
804.33,9,18.49,0.311,1224.3
165.42,13,23.82,0.486,522.2
539.86,19,13.69,0.053,1000.2
117.02,18,16.52,0.237,489.8
628.21,8,8.65,0.448,935.3
442.74,15,22.85,0.223,946.8
233.31,6,10.06,0.113,440.0
186.85,15,18.25,0.117,429.8
734.04,10,10.87,0.246,1066.0
262.77,12,14.36,0.288,483.4
1115.39,16,17.84,0.517,1715.5
726.6,11,13.2,0.385,1123.0
461.96,17,21.96,0.414,882.3
737.73,13,11.22,0.59,1257.5
95.77,20,16.24,0.247,484.9
1153.17,15,9.53,0.242,1740.8
615.0,9,10.98,0.554,919.1
954.49,17,11.68,0.148,1432.6
163.48,11,4.77,0.438,397.8
619.92,13,4.02,0.453,991.1
624.5,7,16.68,0.059,868.5
1129.74,6,16.42,0.281,1590.3
716.05,14,16.58,0.12,1154.7
605.04,7,2.43,0.111,862.9
371.68,20,9.18,0.278,734.2
444.67,18,6.35,0.174,797.6
658.36,16,19.12,0.478,1121.3
565.97,16,20.93,0.545,1026.8
94.42,14,7.43,0.482,387.9
1003.71,5,16.69,0.16,1466.6
1082.66,11,4.85,0.164,1532.5
228.48,12,8.05,0.153,468.6
696.06,19,5.05,0.081,1160.6
192.69,8,8.24,0.566,442.2
829.63,12,16.84,0.241,1261.5
387.79,10,22.03,0.135,751.9
815.15,7,6.46,0.508,1215.6
891.5,6,13.93,0.24,1335.0
938.57,10,17.43,0.021,1470.9
191.75,6,22.96,0.097,390.7
1105.09,6,15.42,0.384,1566.8
330.14,10,7.61,0.47,601.4
112.28,8,15.76,0.127,325.1
696.98,13,9.05,0.55,1075.7
489.14,5,23.47,0.511,736.4
1007.66,9,10.79,0.509,1465.7
983.32,12,17.08,0.137,1441.5
428.37,20,2.51,0.03,808.3
1146.78,15,10.8,0.52,1680.2
398.74,19,21.25,0.183,787.3
652.01,10,15.43,0.371,1040.8
359.24,12,11.77,0.456,683.6
1127.73,11,22.59,0.077,1698.4
256.01,19,20.79,0.469,768.7
120.75,20,9.09,0.563,487.0
561.66,20,13.98,0.437,1055.0
1191.38,17,12.78,0.265,1747.8
1077.6,13,15.91,0.526,1563.9
915.93,13,9.35,0.316,1448.3
1076.6,20,7.37,0.447,1625.7
1079.59,9,22.08,0.492,1552.8
656.31,10,22.33,0.45,1064.6
427.0,19,20.55,0.173,864.6
942.37,11,23.52,0.071,1393.5
817.68,8,18.39,0.143,1206.2
492.23,13,18.82,0.302,931.5
176.75,10,18.78,0.303,414.6
913.87,19,12.57,0.35,1398.0
366.58,19,12.04,0.237,804.7
1128.6,9,7.28,0.472,1626.2
342.3,13,16.19,0.548,661.4
208.72,20,8.37,0.148,490.8
1009.16,16,7.67,0.442,1498.8
243.21,8,14.89,0.407,494.2
272.57,14,11.02,0.314,637.9
747.3,14,6.81,0.113,1107.8
1058.26,15,19.95,0.477,1631.0
291.97,5,20.93,0.576,581.8
420.67,9,5.69,0.433,584.6
948.47,18,2.17,0.551,1506.4
1168.16,8,9.39,0.591,1604.0
635.84,9,19.55,0.211,1022.8
232.6,10,20.46,0.383,540.1
85.75,7,5.04,0.284,297.6
329.51,7,19.04,0.592,639.5
218.96,10,4.55,0.056,328.6
835.75,18,10.58,0.247,1300.7
207.67,5,23.97,0.525,464.5
642.15,9,6.24,0.17,952.2
854.52,5,5.39,0.473,1213.9
726.66,13,11.3,0.23,1174.3
295.75,9,15.63,0.588,610.7
978.66,17,22.52,0.53,1557.9
878.41,14,23.58,0.181,1309.1
905.05,17,3.53,0.462,1373.1
218.1,15,5.04,0.202,521.1
209.84,12,19.4,0.364,471.1
1118.15,18,7.95,0.395,1726.3
519.26,12,21.47,0.498,957.3
410.07,20,16.6,0.015,843.2
622.1,20,4.46,0.132,921.1
819.04,14,20.32,0.427,1255.2
1149.85,15,5.88,0.338,1777.9
393.68,9,11.32,0.297,650.7
1115.03,18,14.15,0.033,1614.8
98.09,15,13.02,0.209,444.2
697.37,19,17.1,0.519,1208.9
786.39,9,16.36,0.019,1228.5
189.66,17,23.82,0.238,580.7
228.58,12,23.99,0.567,590.2
543.6,7,13.36,0.031,852.1
1161.84,7,4.09,0.45,1641.5
743.53,13,18.01,0.155,1286.6
1124.32,10,23.49,0.52,1720.8
978.93,6,9.0,0.448,1307.4
598.14,11,12.15,0.531,987.6
956.78,15,11.35,0.13,1505.8
90.16,10,3.13,0.319,338.0
193.33,20,16.79,0.468,570.5
1007.25,17,9.77,0.147,1590.8
970.4,13,19.32,0.138,1522.2
332.88,19,20.31,0.016,860.6
669.77,11,20.07,0.575,1057.7
754.8,7,11.17,0.426,1087.1
1050.55,5,9.07,0.381,1443.6
751.51,20,18.47,0.446,1269.7
536.21,20,19.63,0.319,979.1
492.83,16,12.81,0.286,763.9
551.25,6,21.65,0.27,856.5
806.68,9,5.17,0.384,1191.2
1050.26,5,21.34,0.121,1473.5
582.9,5,4.11,0.533,931.3
350.06,8,5.38,0.487,593.8
337.43,14,13.74,0.21,730.1
913.0,6,3.49,0.347,1278.9
992.72,20,3.16,0.085,1563.8
188.96,12,2.01,0.583,446.5
145.21,9,11.6,0.542,443.0
741.71,13,19.04,0.553,1204.4
235.18,17,2.77,0.199,560.3
1001.87,10,16.35,0.101,1488.4
420.68,5,20.11,0.127,676.2
232.58,5,5.7,0.054,415.0
1110.7,18,5.23,0.072,1764.9
257.05,6,20.94,0.043,487.1
391.73,15,20.11,0.594,810.8
243.58,11,13.86,0.044,571.1
200.5,17,20.02,0.08,611.2
93.9,5,4.04,0.496,239.7
132.6,19,10.68,0.348,367.4
267.34,16,18.23,0.465,661.2
130.32,12,7.66,0.379,277.2
737.99,8,18.55,0.529,1200.3
839.21,20,13.09,0.383,1387.6
514.8,9,18.51,0.313,900.6
429.33,12,12.22,0.428,723.8
640.11,11,10.09,0.268,931.9
1058.76,8,6.82,0.208,1499.9
1031.78,11,6.58,0.281,1489.4
119.13,7,18.53,0.102,313.7
275.09,5,4.62,0.478,465.3
337.52,9,3.89,0.156,695.1
351.81,6,5.88,0.092,595.1
715.49,11,5.86,0.148,1122.8
540.38,18,20.11,0.505,1047.7
125.66,7,10.77,0.198,383.1
492.18,5,23.79,0.412,795.8
661.84,6,5.02,0.514,866.3
184.89,13,16.38,0.047,468.5
1011.81,9,11.87,0.459,1505.7
128.72,12,10.64,0.185,335.6
1115.07,5,21.25,0.13,1572.5
182.0,10,23.46,0.413,449.3
1023.24,11,21.2,0.546,1616.5
1090.0,11,6.23,0.177,1595.1
1176.91,13,6.86,0.341,1738.0
976.29,17,16.43,0.174,1553.9
950.81,12,8.36,0.333,1405.2
796.01,18,18.16,0.373,1329.4
950.27,13,14.46,0.366,1390.6
222.04,9,14.12,0.374,380.0
675.76,8,20.23,0.081,1050.6
651.07,10,17.63,0.416,1054.2
1039.06,14,2.58,0.405,1579.8
592.96,8,3.09,0.41,954.6
505.15,19,15.23,0.044,1010.3
792.71,12,12.7,0.268,1173.3
371.1,18,7.72,0.245,723.1
227.94,15,11.21,0.052,554.7
610.0,10,18.67,0.133,1094.6
541.08,8,20.19,0.265,947.9
332.8,16,14.35,0.446,752.5
485.29,10,10.48,0.142,774.3
484.02,8,7.96,0.498,730.5
440.07,19,13.48,0.327,898.3
498.79,12,8.92,0.456,789.4
844.89,5,14.41,0.284,1197.8
405.47,12,16.89,0.3,743.1
1142.21,12,3.45,0.372,1710.3
1105.47,18,2.02,0.557,1648.1
613.43,16,6.67,0.295,905.6
441.05,8,21.68,0.317,787.1
675.04,7,16.22,0.361,994.7
1028.87,14,5.78,0.443,1528.3
807.42,5,21.59,0.043,1175.7
978.96,10,12.34,0.309,1422.1
671.98,7,12.47,0.289,1040.0
785.2,5,22.58,0.553,1106.5
395.62,19,3.31,0.296,742.4
900.43,6,6.73,0.281,1292.0
298.72,5,14.89,0.577,507.9
855.12,19,6.3,0.27,1284.3
1042.61,8,16.95,0.109,1533.7
219.28,18,6.71,0.13,594.1
764.25,5,4.18,0.057,1053.3
177.46,7,6.55,0.0,266.5
890.06,6,11.3,0.259,1297.0
165.48,16,5.88,0.462,389.2
1127.61,14,4.96,0.44,1666.1
225.27,12,20.93,0.019,491.4
1153.53,8,9.05,0.342,1574.5
975.0,6,9.94,0.093,1343.1
740.86,14,3.22,0.565,1141.7
954.37,8,9.86,0.1,1331.3
968.48,14,7.83,0.376,1479.9
1139.01,15,15.43,0.196,1691.2
356.32,18,6.52,0.385,765.5
736.79,12,21.54,0.247,1194.0
177.41,5,22.45,0.456,381.1
766.27,9,4.2,0.138,1070.2
263.56,18,4.36,0.543,530.8
708.39,13,4.54,0.3,1104.4
716.85,14,15.63,0.454,1148.6
596.56,12,4.68,0.51,840.0
660.57,7,20.75,0.599,1011.4
933.23,19,18.59,0.134,1460.6
973.15,17,20.04,0.172,1607.1
626.13,20,13.57,0.15,1024.6
747.54,18,23.93,0.158,1208.1
1122.3,9,2.97,0.349,1623.5
205.3,9,10.83,0.596,514.7
202.33,8,9.13,0.594,397.6
169.11,19,22.87,0.316,538.0
813.39,13,14.69,0.383,1297.0
543.03,12,19.74,0.516,835.2
944.98,20,5.75,0.56,1410.3
828.49,14,23.53,0.122,1312.9
447.01,19,12.97,0.317,938.7
1085.15,20,12.86,0.5,1682.9
931.66,6,23.36,0.182,1368.7
375.7,10,10.38,0.264,711.0
481.54,16,10.75,0.591,972.9
425.32,18,14.86,0.591,822.6
248.1,7,4.82,0.544,455.1
237.0,10,9.06,0.479,574.6
1127.82,13,6.25,0.161,1566.0
564.83,17,4.27,0.193,998.8
503.15,6,21.06,0.328,770.0
894.54,14,14.97,0.336,1389.4
694.88,9,9.89,0.303,1036.8
1127.84,8,10.99,0.382,1559.1
951.74,13,11.49,0.245,1384.9
611.69,11,15.93,0.45,1008.9
495.29,15,22.39,0.2,959.0
1184.89,10,22.52,0.198,1734.3
881.07,18,10.61,0.076,1390.8
1144.85,6,9.24,0.113,1608.6
203.88,18,11.92,0.51,517.1
1031.1,5,14.49,0.268,1482.5
789.89,16,12.16,0.137,1292.0
207.77,10,16.49,0.456,602.8
734.73,11,14.2,0.332,1123.8
845.29,5,9.06,0.013,1156.2
83.9,16,9.61,0.19,403.7
583.38,7,10.33,0.106,913.5
1002.7,15,4.08,0.394,1471.5
403.76,16,5.65,0.165,725.7
588.16,18,17.91,0.039,1066.6
569.81,16,10.56,0.033,928.3
411.18,9,6.72,0.349,662.2
1107.84,16,14.38,0.013,1674.8
952.86,18,18.62,0.509,1574.5
194.96,10,7.66,0.093,393.0
1196.65,6,20.19,0.364,1622.0
1063.5,19,22.41,0.267,1604.8
390.82,7,15.14,0.266,605.1
1015.69,14,16.72,0.043,1477.9
190.25,8,3.16,0.482,381.0
1198.99,7,22.8,0.536,1683.8
822.22,17,10.63,0.007,1265.7
804.64,7,22.33,0.107,1170.7
172.2,15,14.74,0.542,478.9
1083.65,16,2.1,0.33,1662.2
102.77,5,2.85,0.09,258.6
342.14,7,16.97,0.122,603.9
231.61,17,14.38,0.396,567.2
947.75,13,2.58,0.435,1376.4
293.97,6,18.36,0.36,561.6
1099.02,20,20.75,0.572,1781.4
811.58,9,12.92,0.296,1167.5
110.86,5,12.25,0.18,281.5
76.14,19,2.12,0.286,278.2
128.37,5,19.31,0.216,340.3
754.7,13,9.28,0.135,1196.9
975.67,20,21.33,0.028,1562.2
339.56,14,10.21,0.211,742.3
1029.83,14,14.43,0.427,1522.0
134.67,11,7.95,0.011,366.5
975.09,7,5.53,0.264,1362.7
1118.41,14,19.05,0.386,1689.8
942.48,19,12.92,0.366,1494.6
858.88,6,13.8,0.466,1248.2
1016.92,19,23.24,0.486,1680.6
115.37,11,23.2,0.427,473.0
298.01,13,20.82,0.062,633.7
211.16,7,6.13,0.285,442.2
640.12,14,15.07,0.362,1029.8
912.06,7,21.32,0.147,1375.7
781.91,9,10.24,0.026,1114.5
1031.78,16,4.22,0.134,1584.7
245.39,5,19.84,0.273,577.2
900.12,12,12.6,0.248,1349.5
288.14,14,14.42,0.106,511.2
375.96,7,23.61,0.495,661.8
872.19,9,15.36,0.555,1361.8
1177.63,10,11.35,0.121,1707.6
761.04,15,10.14,0.558,1226.3
131.59,20,11.19,0.011,519.3
766.43,18,4.6,0.555,1257.5
117.86,8,19.48,0.571,423.7
1069.08,5,20.43,0.007,1553.4
871.82,5,8.26,0.458,1294.0
265.63,14,8.68,0.582,594.5
173.64,7,21.24,0.544,471.3
277.39,8,2.53,0.582,482.3
1177.43,18,13.45,0.33,1768.2
588.17,18,12.2,0.047,1096.6
956.01,18,17.18,0.51,1537.8
789.14,9,5.59,0.368,1189.4
716.83,14,16.7,0.369,1171.0
234.0,14,10.29,0.25,506.3
1139.01,7,15.61,0.343,1622.3
410.52,13,2.88,0.092,766.9
723.16,13,12.16,0.444,1171.3
860.75,11,13.49,0.045,1210.7
803.63,17,6.72,0.438,1265.3
1132.87,15,5.07,0.509,1754.5
237.74,13,6.15,0.283,500.4
644.44,16,9.57,0.306,985.6
526.56,17,4.13,0.187,988.9
605.81,14,22.84,0.582,1088.7
204.72,9,10.91,0.44,443.8
221.53,17,19.8,0.221,573.6
384.23,16,23.44,0.105,837.1
414.32,20,3.78,0.132,771.7
553.53,7,16.34,0.278,921.7
760.42,11,21.17,0.566,1235.1
787.13,19,15.95,0.44,1326.0
535.35,13,11.44,0.129,900.2
531.92,20,11.48,0.516,981.1
315.92,5,2.79,0.227,541.4
734.79,5,13.76,0.511,1035.3
428.26,17,23.86,0.145,785.3
110.75,10,23.09,0.371,418.4
542.79,13,2.89,0.556,914.3
605.77,11,17.53,0.155,1005.2
324.92,11,8.64,0.416,626.7
716.88,20,21.87,0.592,1252.7
709.32,6,2.99,0.09,1029.4
863.26,17,22.59,0.053,1397.6
802.18,19,20.42,0.405,1328.8
807.25,15,4.59,0.204,1223.7
427.32,11,3.32,0.043,789.8
959.8,7,20.36,0.285,1326.6
690.53,15,5.43,0.452,1124.8
557.5,12,13.77,0.171,844.9
777.39,7,22.15,0.201,1168.8
477.54,10,14.48,0.507,793.2
649.4,20,10.74,0.312,1032.0
902.48,9,11.79,0.506,1346.6
1071.64,7,3.39,0.268,1464.5
1110.79,15,23.31,0.572,1626.3
639.11,8,8.83,0.39,1002.1
657.91,19,6.17,0.07,1161.2
973.85,18,8.29,0.531,1583.5
425.33,20,23.22,0.294,910.2
1016.24,19,4.07,0.085,1550.9
628.38,8,21.08,0.092,1047.6
200.92,8,17.57,0.413,531.6
151.43,10,20.26,0.028,466.0
1021.45,12,23.47,0.172,1510.3
132.79,19,20.53,0.084,512.8
387.09,16,22.75,0.265,815.4
447.57,15,4.79,0.249,704.8
265.48,19,19.51,0.313,691.8
424.7,15,14.0,0.168,893.7
909.24,11,13.96,0.019,1379.8
86.59,11,21.78,0.369,434.4
1004.71,13,23.38,0.224,1552.8
1037.9,6,17.51,0.391,1483.7
490.66,16,12.62,0.065,893.1
243.58,15,12.04,0.008,517.0
748.95,16,10.5,0.149,1153.4
205.23,13,9.96,0.274,542.1
482.36,17,10.61,0.236,938.1
1153.02,20,3.97,0.486,1710.8
1194.87,14,3.7,0.227,1770.7
942.48,12,19.16,0.318,1434.8
421.39,6,11.81,0.356,693.3
847.06,17,22.48,0.013,1397.5
867.11,19,15.47,0.309,1455.1
508.26,16,2.77,0.207,867.9
794.2,18,5.47,0.253,1326.0
82.12,18,6.53,0.06,387.3
306.24,17,23.47,0.47,746.9
663.35,13,6.81,0.565,1016.4
255.04,6,13.35,0.013,562.4
257.47,5,22.6,0.361,528.2
1015.02,8,23.5,0.458,1540.0
1187.72,11,7.2,0.171,1621.1
698.25,16,3.08,0.473,1078.5
1018.15,12,5.38,0.379,1540.0
1189.06,5,3.39,0.557,1636.4
230.0,8,6.29,0.589,367.2
576.52,20,14.51,0.025,1084.2
513.61,20,22.07,0.267,974.0
160.46,11,13.82,0.328,487.7
923.52,17,15.77,0.088,1447.5
560.17,16,6.44,0.202,952.9
600.34,19,19.61,0.593,1151.6
240.26,19,15.59,0.01,571.6
274.45,15,21.01,0.272,593.3
1095.03,11,22.87,0.506,1638.9
120.45,15,9.65,0.194,438.9
333.12,10,3.99,0.288,522.9
400.03,10,6.97,0.587,614.3
623.92,14,11.63,0.285,1061.2
732.68,14,22.81,0.079,1171.3
627.42,14,10.32,0.031,995.5
165.05,11,18.96,0.567,376.4
345.34,11,13.89,0.159,613.8
1023.25,5,6.02,0.302,1406.1
790.48,14,9.06,0.054,1258.1
803.54,14,16.37,0.254,1235.5
827.33,19,16.8,0.558,1449.1
932.08,13,11.56,0.301,1375.4
135.66,12,7.03,0.583,358.4
484.27,6,17.88,0.155,841.8
679.67,8,5.72,0.303,1009.2
452.46,10,22.61,0.516,789.4
1024.26,11,6.13,0.269,1471.9
615.31,10,4.36,0.168,992.3
938.55,11,12.95,0.513,1470.6
1032.78,17,13.43,0.234,1553.0
640.41,7,13.18,0.318,966.6
1097.79,10,11.61,0.586,1601.5
733.45,7,23.89,0.112,1076.7
1030.81,9,12.7,0.181,1483.6
454.87,15,12.51,0.019,817.2
633.66,5,11.28,0.235,976.3
670.49,10,3.47,0.12,1050.1
188.63,5,15.05,0.408,379.8
520.36,20,7.02,0.109,930.8
1106.59,16,16.03,0.405,1721.3
782.84,8,3.12,0.158,1088.5
270.58,8,23.59,0.213,583.7
452.91,6,12.32,0.209,709.4
286.51,12,21.73,0.43,582.4
98.05,17,12.46,0.28,370.1
1118.03,14,3.33,0.217,1689.2
576.47,19,20.09,0.512,1060.2
417.51,10,16.26,0.343,812.3
746.28,9,19.2,0.128,1120.2
78.27,12,11.42,0.54,348.6
384.16,8,16.03,0.206,774.4
864.43,20,20.84,0.023,1381.4
786.16,7,15.88,0.297,1078.3
1179.44,12,9.65,0.074,1758.3
771.0,13,16.58,0.143,1175.7
