id_station,nom,type,gouvernorat,latitude,longitude
D073,El Hencha,destination,Sfax,35.122888,10.741542
D074,Kairouan Ville,destination,Kairouan,35.67101,10.10062
D075,Sbikha,destination,Kairouan,35.95195,10.029667
D076,Haffouz,destination,Kairouan,35.6165,9.735915
D077,Chebika,destination,Kairouan,35.65887,9.927648
D078,Kasserine Ville,destination,Kasserine,35.168765,8.836565
D079,Sbeitla,destination,Kasserine,35.240338,9.120342
D080,Feriana,destination,Kasserine,34.946648,8.566311
D081,Sidi Bouzid Ville,destination,Sidi Bouzid,35.038239,9.48653
D082,Regueb,destination,Sidi Bouzid,34.8542,9.801559
D083,Meknassy,destination,Sidi Bouzid,34.604771,9.602246
D084,Gabes Ville,destination,Gabes,33.887808,10.10044
D085,Mareth,destination,Gabes,33.617159,10.288232
D086,El Hamma,destination,Gabes,33.889438,9.799711
D087,Metouia,destination,Gabes,33.958906,10.001434
D088,Medenine Ville,destination,Medenine,33.343401,10.49107
D089,Houmt Souk (Djerba),destination,Medenine,33.868877,10.869555
D090,Zarzis,destination,Medenine,33.50368,11.109717
D091,Ben Gardane,destination,Medenine,32.812343,11.304178
D092,Tataouine Ville,destination,Tataouine,32.935097,10.450091
D093,Ghomrassen,destination,Tataouine,33.059899,10.339057
D094,Gafsa Ville,destination,Gafsa,34.40189,8.769023
D095,Metlaoui,destination,Gafsa,34.315723,8.401829
D096,El Ksar,destination,Gafsa,34.41212,8.9186
D097,Tozeur Ville,destination,Tozeur,33.9239,8.137064
D098,Nefta,destination,Tozeur,33.820495,7.872451
D099,Kebili Ville,destination,Kebili,33.706115,8.969838
D100,Douz,destination,Kebili,33.45711,9.024983
