id_station,nom,type,gouvernorat,latitude,longitude
D084,Gabes Ville,destination,Gabes,33.8815,10.0982
D085,Mareth,destination,Gabes,33.64,10.28
D086,El Hamma,destination,Gabes,33.886,9.795
D087,Metouia,destination,Gabes,33.967,10.0
D088,Medenine Ville,destination,Medenine,33.354,10.505
D089,Houmt Souk (Djerba),destination,Medenine,33.875,10.857
D090,Zarzis,destination,Medenine,33.504,11.112
D091,Ben Gardane,destination,Medenine,33.138,11.22
D092,Tataouine Ville,destination,Tataouine,32.929,10.451
D093,Ghomrassen,destination,Tataouine,33.058,10.346
D094,Gafsa Ville,destination,Gafsa,34.425,8.784
D095,Metlaoui,destination,Gafsa,34.32,8.4
D096,El Ksar,destination,Gafsa,34.395,8.805
D097,Tozeur Ville,destination,Tozeur,33.92,8.133
D098,Nefta,destination,Tozeur,33.873,7.878
D099,Kebili Ville,destination,Kebili,33.704,8.969
D100,Douz,destination,Kebili,33.466,9.02
